Symbol,Reason,Source,Timestamp
NSE:BAJAJ_AUTO-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'BAJAJ_AUTO.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:25
NSE:ZOMATO-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'ZOMATO.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:30
NSE:LTIM-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'LTIM.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:34
NSE:GMRINFRA-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'GMRINFRA.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:51
NSE:GET_D-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'GET_D.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:58
NSE:NAM_INDIA-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'NAM_INDIA.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:02
NSE:M_MFIN-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'M_MFIN.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:07
NSE:ARE_M-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'ARE_M.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:16
NSE:ISEC-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'ISEC.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:22
NSE:CENTURYTEX-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'CENTURYTEX.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:26
NSE:SWANENERGY-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'SWANENERGY.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:32
NSE:SUVENPHAR-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'SUVENPHAR.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:37
NSE:PEL-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'PEL.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:43
NSE:IDFC-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'IDFC.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:37:54
NSE:LAXMIMACH-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'LAXMIMACH.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:00
NSE:NHIT-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'NHIT.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:05
NSE:HBLPOWER-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'HBLPOWER.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:11
NSE:AKZOINDIA-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'AKZOINDIA.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:21
NSE:IBULHSGFIN-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'IBULHSGFIN.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:27
NSE:J_KBANK-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'J_KBANK.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:34
NSE:TRIL-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'TRIL.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:40
NSE:GLS-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'GLS.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:49
NSE:IWEL-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'IWEL.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:38:56
NSE:GANESHHOUC-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'GANESHHOUC.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:05
NSE:INFIBEAM-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'INFIBEAM.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:07
NSE:ITDCEM-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'ITDCEM.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:13
NSE:TV18BRDCST-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'TV18BRDCST.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:23
NSE:TIPSINDLTD-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'TIPSINDLTD.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:31
NSE:GMRP_UI-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'GMRP_UI.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:41
NSE:SUNDARMHLD-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'SUNDARMHLD.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:45
NSE:IIFLSEC-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'IIFLSEC.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:50
NSE:AMIORG-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'AMIORG.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:39:56
NSE:JCHAC-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'JCHAC.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:02
NSE:BHINVIT-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'BHINVIT.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:08
NSE:TIDEWATER-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'TIDEWATER.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:18
NSE:ISMTLTD-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'ISMTLTD.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:23
NSE:GEPIL-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'GEPIL.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:28
NSE:SEQUENT-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'SEQUENT.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:42
NSE:DHANI-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'DHANI.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:46
NSE:TCNSBRANDS-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'TCNSBRANDS.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:40:50
NSE:SMLISUZU-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'SMLISUZU.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:41:00
